"name","rating","region"
"Laurenz V Charming Gruner Veltliner 2013","90.0","Kamptal, Austria"
"Laurenz V Charming Gruner Veltliner 2014","90.0","Kamptal, Austria"
"Laurenz V Singing Gruner Veltliner 2007","90.0","Austria"
"Laurenz V Singing Gruner Veltliner 2010","88.0","Austria"
"Laurenz V Singing Gruner Veltliner 2011","88.0","Austria"
"Laurenz V Singing Gruner Veltliner 2013","89.0","Austria"
"Lava Cap American River Red","90.0","El Dorado, Sierra Foothills, California"
"Lava Cap Barbera 2010","90.0","Sierra Foothills, California"
"Lava Cap Battonage Chardonnay 2012","91.0","Sierra Foothills, California"
"Lava Cap Cabernet Sauvignon 2013","90.0","El Dorado, Sierra Foothills, California"
"Lava Cap Cabernet Sauvignon 2016","93.0","El Dorado, Sierra Foothills, California"
"Lava Cap Petite Sirah 2013","90.0","El Dorado, Sierra Foothills, California"
"Lava Cap Petite Sirah 2014","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Petite Sirah 2016","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Reserve Chardonnay 2015","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Reserve Chardonnay 2018","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Reserve Chardonnay 2016","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Reserve Merlot 2015","90.0","El Dorado, Sierra Foothills, California"
"Lava Cap Sauvignon Blanc 2015","90.0","El Dorado, Sierra Foothills, California"
"Lava Cap Sauvignon Blanc 2017","89.0","El Dorado, Sierra Foothills, California"
"Lava Cap Syrah 2009","91.0","California"
"Lava Cap Syrah 2014","92.0","El Dorado, Sierra Foothills, California"
"Lava Cap Syrah 2013","92.0","El Dorado, Sierra Foothills, California"
"Lava Vine Winery Knights Valley Reserve Cabernet Sauvignon 2013","92.0","Knights Valley, Sonoma County, California"
"Lava Vine Winery Napa Valley Cabernet Sauvignon 2014","91.0","Napa Valley, California"
"Lava Vine Winery Napa Valley Reserve Cabernet Sauvignon 2012","92.0","Napa Valley, California"
"Lava Vine Winery Napa Valley Reserve Cabernet Sauvignon 2013","92.0","Napa Valley, California"
"Lavau Chateauneuf-du-Pape 2016","92.0","Chateauneuf-du-Pape, Rhone, France"
"Lavau Chateauneuf-du-Pape 2014","91.0","Chateauneuf-du-Pape, Rhone, France"
"Lavau Chateauneuf-du-Pape 2015","91.0","Chateauneuf-du-Pape, Rhone, France"
"Lavau Gigondas 2013","91.0","Gigondas, Rhone, France"
"Lavau Gigondas 2014","90.0","Gigondas, Rhone, France"
"Lavau Gigondas 2015","90.0","Gigondas, Rhone, France"
"Lavau Gigondas 2016","92.0","Gigondas, Rhone, France"
"Lavau Rasteau 2015","90.0","Rasteau, Rhone, France"
"Lavau Rasteau 2016","91.0","Rasteau, Rhone, France"
"L'Aventure Cabernet Sauvignon 2006","90.0","Paso Robles, Central Coast, California"
"L'Aventure Chloe 2014","97.0","Paso Robles, Central Coast, California"
"L'Aventure Cote A Cote 2006","96.0","Paso Robles, Central Coast, California"
"L'Aventure Cote A Cote 2007","95.0","Paso Robles, Central Coast, California"
"L'Aventure Cote A Cote 2010","93.0","Paso Robles, Central Coast, California"
"L'Aventure Cote A Cote 2011","96.0","Central Coast, California"
"L'Aventure Cote A Cote 2014","96.0","Paso Robles, Central Coast, California"
"L'Aventure Cote A Cote (slightly stained labels) 2012","96.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee (1.5 Liter Magnum) 2008","94.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2004","98.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2005","96.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2006","97.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2007","95.0","Central Coast, California"
"L'Aventure Estate Cuvee 2008","94.0","Central Coast, California"
"L'Aventure Estate Cuvee 2010","92.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2011","90.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2013","97.0","Central Coast, California"
"L'Aventure Estate Cuvee 2012","98.0","Paso Robles, Central Coast, California"
"L'Aventure Estate Cuvee 2014","98.0","Central Coast, California"
"L'Aventure Estate Cuvee 2016","99.0","Paso Robles, Central Coast, California"
"L'Aventure Optimus (1.5 Liter Magnum) 2012","94.0","Paso Robles, Central Coast, California"
"L'Aventure Optimus 2005","94.0","Central Coast, California"
"L'Aventure Optimus 2007","95.0","Central Coast, California"
"L'Aventure Optimus 2008","90.0","Central Coast, California"
"L'Aventure Optimus 2011","94.0","Central Coast, California"
"L'Aventure Optimus 2015","93.0","Paso Robles, Central Coast, California"
"L'Aventure Optimus 2016","94.0","Willow Creek District, Paso Robles, Central Coast, California"
"L'Aventure Optimus 2017","93.0","Willow Creek District, Paso Robles, Central Coast, California"
"L'Aventure Optimus 2012","94.0","Paso Robles, Central Coast, California"
"Lavinea Elton Chardonnay 2016","92.0","Eola-Amity Hills, Willamette Valley, Oregon"
